stock_code,mean,std,min,max
688559,56.49055785123967,15.332975651785928,32.84,104.8
688578,24.052107438016527,6.562049377278498,14.07,46.1
688626,38.5099173553719,7.935842713856983,25.04,62.75
688630,71.61776859504133,12.899820563863717,39.93,104.8
688661,39.10417355371901,8.552594193080512,24.28,66.0
688667,104.32880165289257,28.955075065693638,64.57,193.47
688668,44.585867768595044,9.5949668413399,29.37,77.69
688683,23.173491735537187,1.9844124449026097,17.67,30.74
688689,27.326280991735537,4.059240386716889,21.36,40.57
688700,52.6975,16.77650303208352,25.58,92.98
688778,47.69927685950413,13.709717839696811,29.78,96.37
688788,30.587871900826446,8.29699338245642,22.55,66.24
920174,10.4350826446281,3.4015706689601575,6.59,20.45
920225,6.500392561983471,3.2540952460585357,2.93,20.45
920445,6.802272727272728,2.5647813381708393,2.97,13.91
920509,8.739752066115702,1.1636901132184403,6.17,13.57
